net_op_name,tech,mcc,mnc,psc_pci,rssi,rsrq,lat,long
Digi RO,LTE,226,10,23,-91.0,-10,45.7447,21.226
Digi RO,LTE,226,10,23,-82.36,-12,45.7443,21.2258
Digi RO,LTE,226,10,23,-87.02,-9,45.7442,21.2259
Digi RO,LTE,226,10,23,-86.78,-8,45.7441,21.2259
Digi RO,LTE,226,10,23,-87.0,-10,45.7437,21.2261
Digi RO,LTE,226,10,23,-87.0,-10,45.7435,21.2261
Digi RO,LTE,226,10,23,-87.0,-10,45.7432,21.226
Digi RO,LTE,226,10,23,-87.0,-10,45.7431,21.226
Digi RO,LTE,226,10,23,-87.0,-10,45.743,21.226
Digi RO,LTE,226,10,23,-87.0,-10,45.7429,21.226
Digi RO,LTE,226,10,23,-87.0,-10,45.7428,21.226
Digi RO,LTE,226,10,23,-96.0,-10,45.7453,21.227
Digi RO,LTE,226,10,34,-103.24,-11,45.7468,21.2263
Digi RO,LTE,226,10,34,-102.82,-11,45.7467,21.2263
Digi RO,LTE,226,10,34,-102.34,-11,45.7466,21.226
Digi RO,LTE,226,10,33,-101.07,-13,45.7469,21.2262
Digi RO,LTE,226,10,33,-106.16,-13,45.747,21.2263
Digi RO,LTE,226,10,33,-101.59,-13,45.7471,21.2263
Digi RO,LTE,226,10,33,-106.22,-13,45.7472,21.2263
Digi RO,LTE,226,10,138,-101.68,-12,45.7464,21.226
Digi RO,LTE,226,10,138,-104.52,-12,45.7482,21.2259
Digi RO,LTE,226,10,138,-105.0,-12,45.7471,21.226
Digi RO,LTE,226,10,138,-99.96,-12,45.7475,21.2261
Digi RO,LTE,226,10,138,-104.41,-12,45.7477,21.2262
Digi RO,LTE,226,10,138,-103.42,-12,45.748,21.2261
Digi RO,LTE,226,10,138,-104.65,-12,45.7479,21.2261
Digi RO,LTE,226,10,138,-104.65,-12,45.7483,21.2259
Digi RO,LTE,226,10,138,-105.0,-12,45.7493,21.226
Digi RO,LTE,226,10,138,-104.09,-12,45.7481,21.2259
Digi RO,LTE,226,10,138,-105.0,-12,45.7472,21.226
Digi RO,LTE,226,10,138,-105.0,-12,45.7486,21.226
Digi RO,LTE,226,10,138,-105.0,-12,45.7505,21.2259
Digi RO,LTE,226,10,138,-99.81,-12,45.7473,21.2261
Digi RO,LTE,226,10,138,-105.0,-12,45.7474,21.2259
Digi RO,LTE,226,10,138,-103.23,-12,45.7476,21.226
Digi RO,LTE,226,10,138,-105.0,-12,45.7472,21.2258
Digi RO,LTE,226,10,138,-105.0,-12,45.7469,21.2256
Digi RO,LTE,226,10,138,-105.0,-12,45.7468,21.2258
Digi RO,LTE,226,10,138,-98.24,-12,45.7474,21.2261
Digi RO,LTE,226,10,138,-105.0,-12,45.7476,21.2256
Digi RO,LTE,226,10,138,-102.78,-12,45.7474,21.2265
Digi RO,LTE,226,10,138,-104.18,-12,45.7466,21.2264
Digi RO,LTE,226,10,138,-103.89,-12,45.7478,21.2259
Digi RO,LTE,226,10,33,-94.59,-10,45.7477,21.2268
Digi RO,LTE,226,10,33,-92.03,-10,45.7474,21.227
Digi RO,LTE,226,10,33,-91.86,-10,45.7475,21.2269
Digi RO,LTE,226,10,33,-90.24,-10,45.7476,21.227
Digi RO,LTE,226,10,33,-99.0,-11,45.7465,21.2261
Digi RO,LTE,226,10,33,-101.11,-11,45.7463,21.2262
Digi RO,LTE,226,10,33,-99.0,-11,45.7462,21.2262
Digi RO,LTE,226,10,33,-100.2,-11,45.7461,21.2262
Digi RO,LTE,226,10,33,-100.94,-11,45.746,21.2261
Digi RO,LTE,226,10,23,-100.87,-10,45.7459,21.2261
Digi RO,LTE,226,10,34,-99.5,-12,45.7458,21.2261
Digi RO,LTE,226,10,34,-99.77,-12,45.7457,21.2261
Digi RO,LTE,226,10,23,-94.0,-9,45.7462,21.2256
Digi RO,LTE,226,10,23,-100.73,-9,45.7455,21.226
Digi RO,LTE,226,10,23,-97.98,-9,45.7454,21.226
Digi RO,LTE,226,10,23,-97.15,-9,45.7453,21.226
Digi RO,LTE,226,10,23,-101.0,-10,45.7453,21.2264
Digi RO,LTE,226,10,23,-98.6,-9,45.7449,21.2265
Digi RO,LTE,226,10,23,-97.0,-9,45.745,21.2259
Digi RO,LTE,226,10,23,-97.0,-9,45.7451,21.226
Digi RO,LTE,226,10,23,-104.0,-8,45.7456,21.226
Digi RO,LTE,226,10,34,-104.0,-16,45.7465,21.2263
Digi RO,LTE,226,10,33,-98.0,-9,45.747,21.2266
Digi RO,LTE,226,10,33,-98.0,-9,45.7472,21.2271
Digi RO,LTE,226,10,33,-98.0,-9,45.7477,21.2285
Digi RO,LTE,226,10,33,-98.0,-9,45.7476,21.2267
Digi RO,LTE,226,10,34,-103.0,-11,45.748,21.2259
orange,LTE,226,10,415,-110.0,-10,45.803,21.2949
orange,LTE,226,10,415,-110.08,-10,45.8028,21.2951
orange,LTE,226,10,415,-107.55,-10,45.8027,21.295
orange,LTE,226,10,69,-98.0,-10,45.7545,21.2438
orange,LTE,226,10,69,-102.0,-12,45.7544,21.2439
orange,LTE,226,10,69,-102.0,-12,45.7544,21.2441
orange,LTE,226,10,69,-102.89,-12,45.7544,21.2443
orange,LTE,226,10,69,-100.22,-13,45.7544,21.2446
orange,LTE,226,10,257,-97.0,-10,45.7545,21.2452
orange,LTE,226,10,257,-94.0,-8,45.7545,21.2456
